run,seed,n_samples,mean_start_accuracy,mean_flow_accuracy,mean_random_accuracy,mean_flow_improvement,mean_random_improvement,mean_flow_advantage,flow_success_rate,random_success_rate,flow_better_rate,tie_rate,mean_flow_direction_norm,mean_random_direction_norm
1,42,3125,0.3374995195594611,0.4020604617500081,0.33272751955905566,0.064560942190547,-0.004772000000405546,0.06933294219095257,0.7536,0.42048,0.76352,0.01056,30.25939077835083,30.259390805511476
2,43,3125,0.3374995195594611,0.35095489731805957,0.3376937773418979,0.0134553777585985,0.0001942577824367956,0.013261119976161704,0.56544,0.46784,0.56096,0.00576,30.905742757263184,30.905742703704835
3,44,3125,0.3374995195594611,0.3834944172756897,0.33442723512666894,0.04599489771622857,-0.0030722844327921548,0.04906718214902072,0.712,0.46048,0.70464,0.00544,35.50263125335693,35.50263121765137
4,45,3125,0.3374995195594611,0.3839647284436326,0.3297261862338433,0.04646520888417155,-0.007773333325617812,0.05423854220978936,0.73312,0.42688,0.7264,0.01344,28.306234704589844,28.306234671325683
5,46,3125,0.3374995195594611,0.42005071945379635,0.33487262178074584,0.08255119989433526,-0.002626897778715345,0.08517809767305061,0.86848,0.47744,0.84384,0.00512,41.97573601989746,41.97573603363037
6,47,3125,0.3374995195594611,0.3752932795178758,0.33411349290397885,0.03779375995841471,-0.003386026655482312,0.04117978661389703,0.65664,0.44576,0.65952,0.01536,34.721365448760984,34.72136543258667
7,48,3125,0.3374995195594611,0.3846109505852308,0.3299137951165768,0.04711143102576972,-0.007585724442884318,0.054697155468654036,0.68,0.4464,0.70368,0.00544,33.402228854217526,33.402228830719
8,49,3125,0.3374995195594611,0.4128938305903673,0.33329304845013086,0.07539431103090617,-0.00420647110933024,0.07960078214023641,0.87424,0.42624,0.85888,0.01088,32.096213344726564,32.09621333633423
9,50,3125,0.3374995195594611,0.38480255950871506,0.33858202621209516,0.047303039949254014,0.0010825066526340054,0.046220533296620014,0.69568,0.4688,0.68512,0.00672,29.432856490936278,29.432856488342285
10,51,3125,0.3374995195594611,0.36037854177212997,0.3230823817958279,0.02287902221266887,-0.014417137763633217,0.03729615997630209,0.61664,0.41312,0.6336,0.01344,32.00672566314697,32.00672565429687
11,52,3125,0.3374995195594611,0.368984426177611,0.3326316262203749,0.03148490661814982,-0.0048678933390862355,0.03635279995723606,0.6448,0.44096,0.65248,0.00704,25.051573994293214,25.051573992919923
12,53,3125,0.3374995195594611,0.36885983950363166,0.33088840845225626,0.03136031994417046,-0.006611111107204861,0.03797143105137533,0.6672,0.43328,0.65408,0.00736,28.888218177642823,28.88821817855835
13,54,3125,0.3374995195594611,0.3917646928169603,0.338427448442904,0.05426517325749919,0.0009279288834428572,0.05333724437405633,0.79776,0.46752,0.768,0.00896,34.625630822906494,34.625630848388674
14,55,3125,0.3374995195594611,0.41630455063487953,0.3323193595755256,0.07880503107541843,-0.005180159983935548,0.08398519105935397,0.87104,0.45728,0.85088,0.0048,40.91076442367554,40.91076437469482
15,56,3125,0.3374995195594611,0.3703542928470594,0.33534593733898516,0.03285477328759833,-0.0021535822204759385,0.03500835550807427,0.62912,0.44256,0.62816,0.00736,27.171637085113524,27.171637113189696
16,57,3125,0.3374995195594611,0.4023526749984999,0.32569706623629624,0.06485315543903876,-0.011802453323164876,0.07665560876220365,0.808,0.4304,0.8,0.00576,36.253195512542725,36.253195444488526
17,58,3125,0.3374995195594611,0.3842465595265462,0.3331540440106154,0.046747039967085104,-0.004345475548845758,0.05109251551593085,0.70816,0.45056,0.70048,0.00544,34.70379416671753,34.703794136505124
18,59,3125,0.3374995195594611,0.37150207953539155,0.3294854395711934,0.03400255997593045,-0.008014079988267685,0.04201663996419813,0.63328,0.40192,0.65856,0.02176,30.902722616729736,30.902722628479005
19,60,3125,0.33749688844833914,0.37215240841003017,0.3352537595650662,0.034655519961690945,-0.002243128883272976,0.03689864884496392,0.6448,0.45952,0.63872,0.00384,39.652106465148925,39.65210648635864
20,61,3125,0.33750988400430165,0.3699830217450104,0.33184460400210375,0.03247313774070875,-0.005665280002197942,0.038138417742906695,0.6688,0.42976,0.6688,0.00992,29.994507545928954,29.99450754852295
