metric,mean,std_across_runs,sem_across_runs,min,max
mean_start_accuracy,0.3374995195594611,0.0,0.0,0.3374995195594611,0.3374995195594611
mean_flow_accuracy,0.3451149862172391,0.0,0.0,0.3451149862172391,0.3451149862172391
mean_random_accuracy,0.33605918178372945,0.0,0.0,0.33605918178372945,0.33605918178372945
mean_flow_improvement,0.007615466657777914,0.0,0.0,0.007615466657777914,0.007615466657777914
mean_random_improvement,-0.0014403377757317441,0.0,0.0,-0.0014403377757317441,-0.0014403377757317441
mean_flow_advantage,0.009055804433509658,0.0,0.0,0.009055804433509658,0.009055804433509658
flow_success_rate,0.41184,0.0,0.0,0.41184,0.41184
random_success_rate,0.1712,0.0,0.0,0.1712,0.1712
flow_better_rate,0.44256,0.0,0.0,0.44256,0.44256
tie_rate,0.25568,0.0,0.0,0.25568,0.25568
mean_flow_direction_norm,12.222375107421875,0.0,0.0,12.222375107421875,12.222375107421875
mean_random_direction_norm,12.222375109558106,0.0,0.0,12.222375109558106,12.222375109558106
